,DATE,ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS,FREIGHT,MAIL,DISTANCE,SLIDER_KEYS
273,2019-01,Georgia,Illinois,102851,82590.0,33981,12051,0
274,2019-01,Georgia,Indiana,54239,56727.0,13000,3204,0
275,2019-01,Georgia,Iowa,14644,15838.0,0,4311,0
276,2019-01,Georgia,Kansas,9322,5765.0,0,1564,0
277,2019-01,Georgia,Kentucky,68599,79373.0,33872,3457,0
278,2019-01,Georgia,Louisiana,83638,42788.0,23236,6178,0
279,2019-01,Georgia,Maine,3112,856.0,0,2054,0
280,2019-01,Georgia,Maryland,59036,66640.0,26943,2874,0
281,2019-01,Georgia,Massachusetts,70041,113928.0,32500,5586,0
282,2019-01,Georgia,Michigan,87167,79360.0,32826,6296,0
283,2019-01,Georgia,Minnesota,61430,54859.0,77186,3552,0
284,2019-01,Georgia,Mississippi,28544,31410.0,0,1627,0
285,2019-01,Georgia,Missouri,82652,92343.0,28349,2915,0
286,2019-01,Georgia,Montana,1223,113.0,0,1640,0
287,2019-01,Georgia,Nebraska,17547,8255.0,43959,3304,0
288,2019-01,Georgia,Nevada,59894,86127.0,169289,10974,0
289,2019-01,Georgia,New Hampshire,117,51.0,0,1904,0
290,2019-01,Georgia,New Jersey,61014,98587.0,82433,8679,0
291,2019-01,Georgia,New Mexico,8434,5418.0,0,2538,0
292,2019-01,Georgia,New York,182066,481828.0,141430,18217,0
293,2019-01,Georgia,North Carolina,162796,157330.0,128270,6524,0
294,2019-01,Georgia,North Dakota,351,0.0,0,1123,0
295,2019-01,Georgia,Ohio,83958,118893.0,22176,4685,0
296,2019-01,Georgia,Oklahoma,27270,24085.0,0,4430,0
297,2019-01,Georgia,Oregon,15097,31861.0,122641,4344,0
298,2019-01,Georgia,Pennsylvania,99375,117788.0,44904,8349,0
299,2019-01,Georgia,Puerto Rico,20008,128707.0,99881,4641,0
300,2019-01,Georgia,Rhode Island,9601,7362.0,0,1806,0
301,2019-01,Georgia,South Carolina,86929,61295.0,0,2273,0
302,2019-01,Georgia,South Dakota,2704,1044.0,0,1908,0
303,2019-01,Georgia,Tennessee,119435,150108.0,29836,2352,0
304,2019-01,Georgia,Texas,259594,341388.0,475207,22925,0
305,2019-01,Georgia,U.S. Virgin Islands,7859,3253.0,0,3237,0
306,2019-01,Georgia,Utah,43831,232697.0,170689,4770,0
307,2019-01,Georgia,Vermont,1784,0.0,0,961,0
308,2019-01,Georgia,Virginia,178429,178281.0,30969,12964,0
309,2019-01,Georgia,Washington,35202,202982.0,197277,10697,0
310,2019-01,Georgia,West Virginia,5718,4996.0,0,1089,0
311,2019-01,Georgia,Wisconsin,43255,18225.0,15660,6537,0
312,2019-01,Georgia,Wyoming,1298,0.0,0,1572,0
313,2019-01,Hawaii,Alaska,9105,5369.0,0,11486,0
314,2019-01,Hawaii,Arizona,35593,161823.0,3020,14518,0
315,2019-01,Hawaii,California,358520,3724314.0,269326,128536,0
316,2019-01,Hawaii,Colorado,24493,547157.0,40270,13410,0
317,2019-01,Hawaii,Georgia,9184,475496.0,4086,13494,0
318,2019-01,Hawaii,Hawaii,527747,1788502.0,0,4870,0
319,2019-01,Hawaii,Illinois,15633,403686.0,23764,12670,0
320,2019-01,Hawaii,Massachusetts,59,0.0,0,5095,0
321,2019-01,Hawaii,Michigan,587,0.0,0,4475,0
322,2019-01,Hawaii,Minnesota,6702,245207.0,0,11841,0
323,2019-01,Hawaii,Nevada,20364,259390.0,3375,5524,0
324,2019-01,Hawaii,New Jersey,6265,555212.0,41677,4962,0
325,2019-01,Hawaii,New Mexico,2,0.0,0,3233,0
326,2019-01,Hawaii,New York,8016,401083.0,9736,9966,0
327,2019-01,Hawaii,Oregon,37895,116121.0,6593,20774,0
328,2019-01,Hawaii,Texas,37555,1356793.0,22074,18556,0
329,2019-01,Hawaii,U.S. Pacific Trust Territories and Possessions,10064,95597.0,392415,10201,0
330,2019-01,Hawaii,Utah,12463,236061.0,0,5929,0
331,2019-01,Hawaii,Virginia,1796,64440.0,2831,4817,0
332,2019-01,Hawaii,Washington,86317,588600.0,10307,32142,0
333,2019-01,Idaho,Arizona,14051,2180.0,0,3763,0
334,2019-01,Idaho,California,38372,1221.0,0,11445,0
